victim_id,numeric_id,value_numeric
348,4,-120.8495014
349,1,2000-08-03
349,2,10467
349,3,40.8803608
349,4,-73.8609436
350,1,2000-08-03
350,2,86004
350,3,35.2077009
350,4,-111.6106497
351,1,2000-08-05
351,2,94087
351,3,37.355512
351,4,-122.0456976
352,1,2000-08-06
352,2,63134
352,3,38.7411794
352,4,-90.3347785
353,1,2000-08-06
353,2,63134
353,3,38.7411794
353,4,-90.3347785
354,1,2000-08-06
354,2,60525
354,3,41.777777
354,4,-87.8720716
355,1,2000-08-09
355,2,66609
355,3,38.9968865
355,4,-95.6862599
356,1,2000-08-10
356,2,31206
356,3,32.8134863
356,4,-83.6556893
357,1,2000-08-10
357,2,30253
357,3,33.4310345
357,4,-84.146805
358,1,2000-08-10
358,2,55413
358,3,44.9956749
358,4,-93.261652
359,1,2000-08-10
359,2,55413
359,3,44.9956749
359,4,-93.261652
360,1,2000-08-11
360,2,77015
360,3,29.8034904
360,4,-95.162335
